employee_id,is_promoted
8724,0
74430,1
72255,1
38562,1
64486,0
46232,1
54542,1
67269,1
66174,1
76303,1
60245,0
42639,1
30963,1
54055,0
42996,0
12737,1
27561,1
26622,1
31582,1
29793,0
72735,0
5677,1
60889,0
51498,1
8566,0
53151,0
16203,1
61083,1
74849,1
13259,0
72407,1
65237,1
67672,1
77460,1
67317,0
68788,0
36834,0
64281,0
1822,1
55325,1
41432,0
52061,0
39973,1
42524,0
7935,1
49940,1
10059,0
44159,1
76691,1
3720,1
5621,0
24147,1
33997,0
64076,0
21379,1
23714,1
19866,0
4529,1
64703,0
19649,1
6596,1
7999,1
4762,1
5387,0
24620,0
57989,1
75619,1
26977,1
65975,0
51302,1
63714,1
70556,1
70117,1
51972,1
60572,1
9548,1
64,1
35510,0
10732,1
9214,0
10761,1
32110,1
50038,0
1555,1
21200,1
50380,0
45009,0
65450,1
77333,0
2347,1
8443,0
39490,1
69077,0
64652,1
5254,0
71131,1
19620,1
41266,0
11001,0
28530,0
72481,1
67417,0
51840,1
43223,0
40287,1
29367,1
36352,1
29681,0
30233,1
66601,1
40276,0
1522,1
17936,0
26270,1
6837,1
49665,0
1908,1
6474,1
27495,1
24324,1
14299,0
56246,1
3901,1
41566,0
55735,1
53627,1
62683,0
42719,0
44948,0
26037,0
30607,1
46103,1
6452,1
47286,1
44117,1
1367,1
26228,1
65694,1
2721,1
63901,1
4701,0
35341,0
3203,1
10361,1
6572,0
70408,0
11774,0
37873,1
3886,1
23347,0
3034,0
30137,0
52431,0
11061,0
9706,0
17607,1
64986,1
8082,1
20982,1
5794,1
69381,0
50176,0
1612,0
48923,1
50366,1
48813,0
5574,0
57601,1
26788,0
564,0
3864,1
19598,0
19513,0
74965,1
42353,0
13367,0
38556,1
51344,0
28320,1
56104,0
68882,1
75800,1
13223,0
62740,1
67233,0
49207,1
19053,0
38096,1
46519,0
2111,1
69413,0
53827,1
40064,1
33502,1
15182,0
13593,0
15613,0
75751,0
71625,1
37763,1
10812,1
67357,1
49583,0
45428,1
9978,1
44266,1
47252,0
57884,1
24334,0
58892,0
40799,1
33879,1
24403,1
51150,0
7722,0
71271,1
56772,1
65909,1
8228,0
52138,0
22999,1
29196,1
10663,0
65651,0
17973,0
10986,1
19355,0
75402,0
52587,1
41662,0
73944,0
3987,0
40057,0
76195,1
12411,0
15161,1
59084,1
53857,1
42772,0
5294,1
56439,1
29998,0
76599,1
27424,0
45605,1
75833,1
57068,1
70129,1
14733,0
71886,0
7561,1
59522,1
44299,0
29220,1
15869,1
51270,1
14778,1
19212,0
70890,0
31183,1
46628,1
44670,0
70734,1
47051,1
17760,1
8180,0
24756,1
56780,1
59919,1
18924,0
42477,1
50900,1
11824,1
51740,0
51364,1
64265,1
46233,1
41215,0
47172,0
53542,0
2121,1
77677,0
38018,0
29799,1
565,1
33473,1
14628,0
46339,0
6352,1
63568,1
15317,1
63035,1
22942,0
62212,1
49252,0
38520,0
65459,1
69109,0
67985,1
74040,0
31049,1
55523,1
40579,1
40211,1
41982,0
24286,1
53696,1
47130,0
25340,1
16794,1
10399,0
9095,1
60624,1
30188,1
19292,1
58780,1
33674,1
17128,0
28127,0
42650,1
58393,0
72037,0
33736,1
51260,0
21326,1
7784,1
33540,1
14669,0
53267,0
51294,1
4208,0
64266,0
57995,0
76317,0
32169,0
22403,0
18775,0
7007,0
58836,0
67403,1
34371,1
17603,0
72636,1
44193,1
41162,1
42939,0
37227,1
34986,1
10473,1
42833,0
39224,1
34148,1
65558,0
63986,0
31641,1
45087,0
63354,1
41610,1
10376,0
11414,0
32884,1
71007,0
43891,0
26769,0
23022,1
56684,1
24951,1
8810,1
77266,1
33334,1
